"","site","lat","lon","Country","Biome","Date","Uncertainty","Technological Complex"
"217","Bushman Rock  Shelter",-24.583,30.633,"South Africa","Savanna Biome",9510,"55","Oakhurst"
"218","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9505,"55","Oakhurst"
"219","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",7010,"80","Wilton"
"220","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9420,"110","Oakhurst"
"221","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",6720,"25","Wilton"
"222","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",7075,"25","Wilton"
"223","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9420,"30","Oakhurst"
"224","Siphiso",-26.3,31.967,"Swaziland","Savanna Biome",9380,"90","Oakhurst"
"225","Siphiso",-26.3,31.967,"Swaziland","Savanna Biome",9370,"160","Oakhurst"
"226","Siphiso",-26.3,31.967,"Swaziland","Savanna Biome",9360,"190","Oakhurst"
"227","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",4740,"50","Wilton"
"228","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",4615,"20","Wilton"
"229","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",5720,"70","Wilton"
"230","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",4665,"20","Wilton"
"231","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9335,"30","Oakhurst"
"232","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",9325,"45","Oakhurst"
"233","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",9320,"30","Oakhurst"
"234","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",9290,"90","Oakhurst"
"235","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",5390,"70","Wilton"
"236","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",5370,"70","Wilton"
"237","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",7420,"80","Wilton"
"238","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",5310,"60","Wilton"
"239","Sehonghong",-29.75,28.75,"Lesotho","Grassland Biome",9280,"45","Oakhurst"
"240","Kangkara Cave",-33.783,23.083,"South Africa","Fynbos Biome",9260,"90","Oakhurst"
"241","Rose Cottage Cave",-29.25,27.5,"South Africa","Grassland Biome",9250,"70","Oakhurst"
"242","Melkhoutboom",-33.317,25.283,"South Africa","Thicket Biome",6980,"65","Wilton"
"243","Melkhoutboom",-33.317,25.283,"South Africa","Thicket Biome",5900,"90","Wilton"
"244","Melkhoutboom",-33.317,25.283,"South Africa","Thicket Biome",7300,"80","Wilton"
"245","Mgede Shelter",-28.17,29.687,"South Africa","Grassland Biome",4390,"70","Wilton"
"246","Mgede Shelter",-28.17,29.687,"South Africa","Grassland Biome",6550,"70","Wilton"
"247","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",5190,"80",""
"248","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",6470,"80",""
"249","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",8200,"80",""
"250","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",6330,"60",""
"251","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",5570,"50",""
"252","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",8410,"80",""
"253","Mirabib Hill Shelter",-23.463,15.325,"Namibia","Desert Biome",6500,"80",""
"254","Mitchell's Bay 2005/001E",-30.469,17.361,"South Africa","Succulent Karoo Biome",4180,"90",""
"255","Mitchell's Bay 2005/005B",-30.468,17.36,"South Africa","Succulent Karoo Biome",5390,"70",""
"256","Montagu Cave",-33.833,20.167,"South Africa","Succulent Karoo Biome",7100,"45",""
"257","Mzinyashana Shelter",-28.317,30.467,"South Africa","Grassland Biome",4170,"130","Wilton"
"258","Mzinyashana Shelter",-28.317,30.467,"South Africa","Grassland Biome",4010,"60","Wilton"
"259","N2005/1, Sesfontein",-19.083,13.35,"Namibia","Desert Biome",10035,"45",""
"260","N2005/1, Sesfontein",-19.083,13.35,"Namibia","Desert Biome",5550,"30",""
"261","N2005/2, Sesfontein",-19.05,13.533,"Namibia","Desert Biome",8890,"30",""
"262","Namtib",-26.033,16.25,"Namibia","Desert Biome",7560,"75",""
"263","Namtib",-26.033,16.25,"Namibia","Desert Biome",8230,"70",""
"264","Namtib",-26.033,16.25,"Namibia","Desert Biome",7840,"90","Wilton"
"265","Namtib",-26.033,16.25,"Namibia","Desert Biome",5400,"70",""
"266","Heuningsneskrans",-24.6,30.65,"South Africa","Savanna Biome",9230,"100","Oakhurst"
"267","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",4968,"31","Wilton"
"268","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",4860,"45","Wilton"
"269","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",8281,"38","Wilton"
"270","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",9220,"30","Oakhurst"
"271","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",9215,"45","Oakhurst"
"272","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",9150,"30","Oakhurst"
"273","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",9115,"40","Oakhurst"
"274","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",9100,"135","Oakhurst"
"275","Kruger Cave",-25.75,27.25,"South Africa","Savanna Biome",9090,"90","Oakhurst"
"276","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10450,"50","Robberg"
"277","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",5890,"70","Wilton"
"278","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",5860,"70","Wilton"
"279","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",5320,"220","Wilton"
"280","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",8990,"80","Oakhurst"
"281","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",8960,"80","Oakhurst"
"282","Ha Makotoko",-29.333,27.8,"Lesotho","Grassland Biome",8950,"80","Oakhurst"
"283","Oakhurst",-33.933,22.617,"South Africa","Forests",8950,"90","Oakhurst"
"284","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",8945,"45","Oakhurst"
"285","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",6020,"160","Wilton"
"286","Ntloana Tšoana",-29.317,27.817,"Lesotho","Grassland Biome",8905,"70","Oakhurst"
"287","Heuningsneskrans",-24.6,30.65,"South Africa","Savanna Biome",8880,"100","Oakhurst"
"288","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8860,"90","Oakhurst"
"289","Siphiso",-26.3,31.967,"Swaziland","Savanna Biome",8860,"180","Oakhurst"
"290","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",6050,"80","Wilton"
"291","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",5825,"150","Wilton"
"292","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",5830,"115","Wilton"
