"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"149","Koingnaas 2001/008C","Pta-9316",4630,70,"",-30.222,17.238,"marine shell",2
"150","Springbokoog 1","Pta-4091",4630,60,"Wilton",-30.217,21.533,"eggshell",3
"151","Steenbokfontein","Pta-7323",4620,70,"Wilton",-32.162,18.333,"charcoal",1
"152","Matjies River","Pta-6877 ",4615,20,"Wilton",-34.017,23.417,"marine shell",2
"153","Nkupe Shelter","Pta-3276 ",4590,70,"Wilton",-28.147,29.937,"charcoal",3
"154","Buzz Shelter","AA-89911",4551,54,"",-31.524,18.6,"bone",1
"155","Kasteelberg G","Pta-8769 ",4550,60,"",-32.733,17.933,"marine shell",2
"156","Oakhurst","Pta-4449",4530,70,"",-33.933,22.617,"bone",3
"157","Uniondale","Pta-4322",4520,60,"Wilton",-33.15,26.383,"",1
"158","Brandsebaai 2","Pta-6053",4510,30,"",-31.35,17.917,"marine shell",2
"159","Highlands Rock Shelter","Pta-536",4500,60,"Final LSA",-31.664,25.572,"",3
"160","Jakkalsberg N","Pta-8496 ",4500,50,"Wilton",-28.181,16.885,"",1
"161","Wonderwerk","OxA-30566",4459,30,"",-27.846,23.555,"charcoal ",2
"162","Springbokoog 20","Pta-4785",4440,60,"Wilton",-30.217,21.533,"eggshell",3
"163","Wonderwerk","OxA-30567",4427,29,"",-27.846,23.555,"charcoal ",1
"164","Faraoskop","Pta-4809",4420,60,"",-32.1253,18.6144,"charcoal",2
"165","Hope Hill Shelter","Wits-1565",4400,100,"",-26.35,28.833,"",3
"166","Liphofung","Pta-6109",4390,70,"",-28.753,28.496,"bone",1
"167","Mgede Shelter","Pta-3505 ",4390,70,"Wilton",-28.17,29.687,"charcoal",2
"168","Elands Bay Cave","Pta-5313",4370,60,"Wilton",-32.317,18.318,"",3
"169","Gehle Shelter","Pta-3245 ",4330,60,"Wilton",-29.13,29.906,"",1
"170","Tortoise Cave","Pta-3605",4330,50,"Wilton",-32.341,18.399,"charcoal",2
"171","White Paintings Shelter","Beta-47865",4330,160,"",-18.75,21.75,"charcoal",3
"172","Soutpansklipheuwel86","UGAMS-8567",4310,30,"",-32,18.317,"marine shell",1
"173","Maqonqo Shelter","Pta-5900 ",4300,20,"Wilton",-28.344,30.424,"charcoal",2
"174","Blydefontein","SMU-1852",4286,149,"Wilton",-31.133,25.05,"charcoal",3
"175","Wonderwerk","Pta-2541",4240,60,"",-27.846,23.555,"",1
"176","Malkoppan","Pta-6220",4230,60,"",-32.134,18.309,"charcoal",2
"177","Wonderwerk","OxA-30568",4207,30,"",-27.846,23.555,"charcoal ",3
"178","Amadzimba Cave","BM-57",4200,150,"Wilton",-20.75,28.75,"other",1
"179","Tortoise Cave","Pta-3608b",4190,60,"Wilton",-32.341,18.399,"charcoal",2
"180","Buzz Shelter","OxA-22986",4185,31,"",-31.524,18.6,"charcoal",3
"181","Mitchell's Bay 2005/001E","GX-32757",4180,90,"",-30.469,17.361,"marine shell",1
"182","Numas Schlucht Cave (Lower Numas Cave)","Pta-1295",4180,60,"Wilton",-21.117,14.417,"charcoal",2
"183","Mzinyashana Shelter","Pta-6535",4170,130,"Wilton",-28.317,30.467,"",3
"184","Elands Bay Cave","Pta-5805",4160,60,"Wilton",-32.317,18.318,"",1
"185","St Francis Bay","Pta-7550",4160,60,"Final LSA",-34.117,24.767,"",2
"186","Maqonqo Shelter","Pta-6256 ",4140,60,"Wilton",-28.344,30.424,"charcoal",3
"187","Zoovoorbij","Pta-2889",4140,75,"Wilton",-28.65,20.967,"charcoal",1
"188","Klasies River Cave 5","GX-1378",4110,105,"",-34.13,24.43,"charcoal",2
"189","Blydefontein","SMU-1901",4101,273,"Wilton",-31.133,25.05,"charcoal",3
"190","Oakhurst","Pta-4431",4100,60,"",-33.933,22.617,"bone",1
"191","Doorspring 1","Pta-6742",4090,35,"",-32,18.3,"marine shell",2
"192","Jubilee Shelter","Wits-1382 ",4090,80,"Wilton",-25.683,27.983,"charcoal",3
"193","Maqonqo Shelter","Pta-6245 ",4080,25,"Wilton",-28.344,30.424,"charcoal",1
"194","Blombosfontein 6","Pta-6178",4070,60,"Wilton",-34.4,21.217,"marine shell",2
"195","Blydefontein","SMU-1851",4066,55,"Wilton",-31.133,25.05,"charcoal",3
"196","Tortoise Cave","OxA-477",4050,100,"",-32.341,18.399,"bone",1
"197","Chicaza","Wk-40713",4048,20,"",-12.89,35.25,"charcoal",2
"198","Tortoise Cave","Pta-3608a",4020,60,"Wilton",-32.341,18.399,"charcoal",3
"199","Mzinyashana Shelter","Pta-6540 ",4010,60,"Wilton",-28.317,30.467,"",1
"200","Shongweni South","Pta-1061",4000,60,"",-29.85,30.717,"plant remains",2
"201","Steenbokfontein","Pta-6420",3990,60,"Wilton",-32.162,18.333,"charcoal",3
"202","Wonderwerk","Pta-2785",3990,60,"",-27.846,23.555,"charcoal",1
"203","N2005/1, Sesfontein","KN-5797",3980,40,"",-19.083,13.35,"charcoal",2
"204","Castle Quarry","Y-1829",3970,120,"",-26.162,31.059,"charcoal",3
"205","Bambata Cave","Pta-3111",3960,60,"",-21.51,28.75,"charcoal",1
