"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"106","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","","","UCLA-1746-C-1 ",5310,60,"LSA","Wilton","","rock shelter",NA,"sealy2006rdm","Forest"
"107","Meerlust 1","MRL1",-27.65,22.433,"South Africa","Northern Cape","S","Savanna Biome","ExcavationSpits 12-14","conventional 14C","eggshell","Struthio camelus","Pta-4511",2390,50,"LSA","Wilton","","open site",NA,"beaumont1989pcn",""
"108","Melkhoutboom","MKB",-33.317,25.283,"South Africa","Eastern Cape","Y","Thicket Biome","wedge unit","conventional 14C","","","Pta-668 ",6980,65,"LSA","Wilton","","rock shelter",NA,"deacon1976whg",""
"109","Melkhoutboom","MKB",-33.317,25.283,"South Africa","Eastern Cape","Y","Thicket Biome","main bedding unit","conventional 14C","","","Pta-680 ",5900,90,"LSA","Wilton","","rock shelter",NA,"deacon1976whg",""
"110","Melkhoutboom","MKB",-33.317,25.283,"South Africa","Eastern Cape","Y","Thicket Biome","wilton base marker unit","conventional 14C","","","UW-234",7300,80,"LSA","Wilton","","rock shelter",NA,"deacon1976whg",""
"111","Mgede Shelter","MGD",-28.17,29.687,"South Africa","Kwazulu-Natal","S","Grassland Biome","3","conventional 14C","charcoal","","Pta-3505 ",4390,70,"LSA","Wilton","","rock shelter",NA,"mazel1986msh",""
"112","Mgede Shelter","MGD",-28.17,29.687,"South Africa","Kwazulu-Natal","S","Grassland Biome","4","conventional 14C","charcoal","","Pta-3508",6550,70,"LSA","Wilton","","rock shelter",NA,"mazel1986msh",""
"113","Mzinyashana Shelter","MZY",-28.317,30.467,"South Africa","Kwazulu-Natal","S","Grassland Biome","Layer 11","conventional 14C","","","Pta-6535",4170,130,"LSA","Wilton","","rock shelter",NA,"mazel1997mse",""
"114","Mzinyashana Shelter","MZY",-28.317,30.467,"South Africa","Kwazulu-Natal","S","Grassland Biome","Layer 10","conventional 14C","","","Pta-6540 ",4010,60,"LSA","Wilton","","rock shelter",NA,"mazel1997mse",""
"115","Namtib","NTB",-26.033,16.25,"Namibia","Karas Region","W","Desert Biome","","conventional 14C","charcoal","","Pta-1185",7840,90,"LSA","Wilton","","rock shelter",NA,"vogel1981prd",""
"116","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32448",4968,31,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"117","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32449",4860,45,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"118","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Unit148","conventional 14C","charcoal","","Pta-2909 ",5890,70,"LSA","Wilton","","rock shelter",NA,"inskeep1987nps",""
"119","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Unit129","conventional 14C","charcoal","","Pta-2915 ",5860,70,"LSA","Wilton","","rock shelter",NA,"inskeep1987nps",""
"120","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Unit105","conventional 14C","charcoal","","Pta-2933 ",5320,220,"LSA","Wilton","","rock shelter",NA,"inskeep1987nps",""
"121","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","BSC","conventional 14C","charcoal","","UW-176 ",6020,160,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
